"id_ciudad","cod_pais","ciudad","latitud","longitud","id_departamento"
730,GT,Totonicapán,14.9696418,-89.5424891,127
731,GT,Cabañas,14.9696418,-89.5424891,128
732,GT,Estanzuela,14.9696418,-89.5424891,128
733,GT,Gualán,14.9696418,-89.5424891,128
734,GT,Huité,14.9696418,-89.5424891,128
735,GT,La Unión,14.9696418,-89.5424891,128
736,GT,Río Hondo,14.9696418,-89.5424891,128
737,GT,San Diego,14.9696418,-89.5424891,128
738,GT,Teculután,14.9696418,-89.5424891,128
739,GT,Usumatlán,14.9696418,-89.5424891,128
740,GT,Zacapa,14.9696418,-89.5424891,128
741,SV,Ahuachapán,13.22028,-89.92972,95
742,SV,Apaneca,13.22029,-89.92973,95
743,SV,Atiquizaya,13.2203,-89.92974,95
744,SV,Concepción de Ataco,13.22031,-89.92975,95
745,SV,El Refugio,13.22032,-89.92976,95
746,SV,Guaymango,13.22033,-89.92977,95
747,SV,Jujutla,13.22034,-89.92978,95
748,SV,San Francisco Menéndez,13.22035,-89.92979,95
749,SV,San Lorenzo,13.22036,-89.9298,95
750,SV,San Pedro Puxtla,13.22037,-89.92981,95
751,SV,Tacuba,13.22038,-89.92982,95
752,SV,Turín,13.22039,-89.92983,95
753,SV,Cinquera,13.2204,-89.92984,96
754,SV,Dolores,13.22041,-89.92985,96
755,SV,Guacotecti,13.22042,-89.92986,96
756,SV,Ilobasco,13.22043,-89.92987,96
757,SV,Jutiapa,13.22044,-89.92988,96
758,SV,San Isidro,13.22045,-89.92989,96
759,SV,Sensuntepeque,13.22046,-89.9299,96
760,SV,Tejutepeque,13.22047,-89.92991,96
761,SV,Victoria,13.22048,-89.92992,96
762,SV,Agua Caliente,13.22049,-89.92993,97
763,SV,Arcatao,13.2205,-89.92994,97
764,SV,Azacualpa,13.22051,-89.92995,97
765,SV,Chalatenango,13.22052,-89.92996,97
766,SV,Citalá,13.22053,-89.92997,97
767,SV,Comalapa,13.22054,-89.92998,97
768,SV,Concepción Quezaltepeque,13.22055,-89.92999,97
769,SV,Dulce Nombre de María,13.22056,-89.93,97
